X,Y,Z,f=1/p
10.884219,1.5990183,3.725052,0
9.452548,0.44506276,3.1361039,0
8.856418,-0.16303833,0.9478978,0
8.504485,-0.14388555,0.4571075,0
7.405594,-0.14149144,0.93832135,0
5.784789,-0.34020165,1.8504729,0
4.602104,-0.46948296,2.4466035,0
5.1838703,-0.10079177,3.2246857,0
6.1534796,0.77066016,3.6388648,0
6.1439037,1.0292228,4.024315,0
5.138382,0.9310647,4.835914,0
4.757721,1.0531639,4.929284,0
4.4847927,1.1704746,4.6707215,0
3.8862686,1.0459815,5.348251,0
3.146492,0.94303524,6.5165715,0
2.612608,0.9214884,7.6394033,0
2.7179482,0.9885231,8.877153,0
5.52862,2.484835,10.239395,0
3.388296,1.7426642,10.488381,0
1.5855396,0.8185421,9.645658,0
1.3987999,0.9669763,9.499618,0
0.95349747,0.6413789,9.873098,0
0.49143642,0.44027454,9.822822,0
0.9104037,0.7323546,9.53553,0
1.0540496,0.8616358,9.40146,0
0.7212699,0.63180244,9.29612,0
0.33821413,0.258323,9.43019,0
0.45073676,0.27029353,9.77494,0
0.979474169,-2.116623,12.377325,0
0.80506337,1.081893,9.092622,0
0.7667578,1.0268288,9.29612,0
0.82182205,0.52646214,9.731846,0
0.83379257,0.7826307,9.466101,0
0.62311184,0.7203841,9.746211,0
0.4962246,0.5695559,10.311218,0
0.7045112,0.95739985,10.696668,0
0.5201656,0.43309224,10.641604,0
0.7212699,0.6485611,10.237001,0
1.0468674,0.6892608,10.507534,0
1.2527598,0.41393942,10.883408,0
0.9702562,-0.019392401,11.101271,0
1.1929073,-0.13191505,10.596116,0
1.5879337,-0.031362906,10.07899,0
2.1912465,0.009336785,10.06702,0
2.8639882,0.21044107,9.367943,0
3.5654593,0.524068,8.649713,0
4.0155497,0.8113599,7.3880234,0
4.321995,0.95261157,6.3537726,0
4.6332273,1.1034398,5.4464097,0
5.009101,1.4793134,4.2685127,0
5.0928936,1.424249,2.9038765,0
5.4496145,1.0004936,2.338869,0
6.677788,1.2303271,3.9453092,0
6.675393,1.0028877,5.003501,0
5.899706,0.7227782,4.1823254,0
5.195841,0.73474866,2.9038765,0
5.3777924,0.5432208,1.7164034,0
6.610753,0.059612855,2.137765,0
8.195646,0.23677616,4.512711,0
8.605038,0.14340632,4.3140006,0
9.275385,0.4881565,1.3979882,0
12.090845,0.35887516,-0.92189336,0
14.482551,1.0292228,-1.8196805,0
15.86155,1.7115409,-0.8740114,0
14.511279,1.3907317,-1.1876384,0
12.469112,0.54561484,-2.2793474,0
11.437256,-0.06488028,-3.5625842,0
11.250516,-0.31865475,-3.5984957,0
11.30558,-0.26598457,-3.1603758,0
11.288822,-0.17979702,-4.261661,0
11.564143,-0.19894981,-4.9511614,0
11.863405,0.052430555,-4.5393767,0
12.150698,0.069189265,-4.2760253,0
12.093239,0.00454858,-3.9408522,0
11.279245,-0.14388555,-4.189838,0
